,ISBN,Title,Authors,Description,Year_Of_Publication,Publisher,Page_Count,Categories
0,0316666343,The Lovely Bones,Alice Sebold,"Sebold's mesmerizing and luminous first novel--a #1 national bestseller--builds a tale filled with hope, humor, suspense, and even joy, following an unspeakable tragedy.",2002,"Little, Brown",372,['Fiction']
1,0971880107,Wild Animus,Rich Shapero,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",2004,Too Far,328,['Fiction']
2,0385504209,The Da Vinci Code,Dan Brown,"Harvard symbologist Robert Langdon and French cryptologist Sophie Neveu work to solve the murder of an elderly curator of the Louvre, a case which leads to clues hidden in the works of Da Vinci and a centuries-old secret society.",2003,Doubleday,472,['Fiction']
3,0142001740,The Secret Life of Bees,Sue Monk Kidd,"The multi-million bestselling novel about a young girl's journey towards healing and the transforming power of love, from the award-winning author of The Invention of Wings and The Book of Longings Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted Black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. Taken in by an eccentric trio of Black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story that women will share and pass on to their daughters for years to come.",2003,Penguin Books,354,['Fiction']
4,044023722X,A Painted House,John Grisham,"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community",2001,Dell Publishing Company,480,['Fiction']
5,0452282152,Girl with a Pearl Earring,Tracy Chevalier,"The New York Times bestselling novel by the author of A Single Thread and At the Edge of the Orchard Translated into thirty-nine languages and made into an Oscar-nominated film, starring Scarlett Johanson and Colin Firth Tracy Chevalier transports readers to a bygone time and place in this richly-imagined portrait of the young woman who inspired one of Vermeer's most celebrated paintings. History and fiction merge seamlessly in this luminous novel about artistic vision and sensual awakening. Girl with a Pearl Earring tells the story of sixteen-year-old Griet, whose life is transformed by her brief encounter with genius . . . even as she herself is immortalized in canvas and oil.",2001,Plume Books,244,['Fiction']
6,0671027360,Angels & Demons,Dan Brown,A novel about a symbologist who discovers the existence of an ancient vendetta against the Catholic Church.,2001,Pocket Star,612,['Fiction']
7,0786868716,The Five People You Meet In Heaven,Mitch Albom,"Plot Eddie is a wounded war veteran, an old man who has lived, in his mind, an uninspired life. His job is fixing rides at a seaside amusement park. On his 83rd birthday, a tragic accident kills him, as he tries to save a little girl from a falling cart. He awakes in the afterlife, where he learns that heaven is not a destination. It's a place where your life is explained to you by five people, some of whom you knew, others who may have been strangers. One by one, from childhood to soldier to old age, Eddie's five people revisit their connections to him on earth, illuminating the mysteries of his ""meaningless"" life, and revealing the haunting secret behind the eternal question: ""Why was I here"" Personal Details Collection Status In Collection Index 10 Read It Yes Links Amazon US Product Details LoC Classification PS3601.L335F59 2003 Dewey 813/.6",2003,Hyperion,210,['Fiction']
8,0743418174,Good in Bed,Jennifer Weiner,"Humiliated to discover that her ex-boyfriend has been chronicling their former sex life in a series of articles called ""Loving a Larger Woman"" in a popular women's magazine, pop-culture journalist Cannie Shapiro embarks on an adventure-filled odyssey as she confronts her losses, makes peace with the past, and comes to terms with herself, her dreams, and her goals in life. A first novel. Reprint. 50,000 first printing.",2002,Washington Square Press,418,['Fiction']
9,0375727345,House of Sand and Fog,Andre Dubus III,"A cloth bag containing ten copies of the title, that may also include a folder with miscellaneous notes, dicussion questions, biographical information, and reading lists to assist book group dicussion leaders.",2000,Vintage Books,372,['Fiction']
10,0312278586,The Nanny Diaries,Emma McLaughlin,"Based on real-life experiences, this novel is the inside story on the lives of the rich and privileged from the women who know all their secrets--the nannies. Excerpt to ""Talk"" magazine.",2002,St. Martin's Press,336,['Fiction']
11,043935806X,Harry Potter and the Order of the Phoenix,J. K. Rowling,"Collects the complete series that relates the adventures of young Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry, where he and others of his kind learn their craft.",2003,Scholastic,1232,['Bildungsromans']
12,0440241073,The Summons,John Grisham,"Once Judge Atlee was a powerful figure in Clanton, Mississippi--a pillar of the community who towered over local law and politics for forty years. Now the judge is a shadow of his former self, a sick, lonely old man who has withdrawn to his sprawling ancestral home. Knowing the end is near, Judge Atlee has issued a summons for his two sons to return to Clanton to discuss his estate. Ray Atlee is the eldest, a Virginia law professor, newly single and still enduring the aftershocks of a surprise divorce. Forrest is Ray’s younger brother, who redefines the notion of a family’s black sheep. The summons is typed by the judge himself, on his handsome old stationery, and gives the date and time for Ray and Forrest to appear in his study. Ray reluctantly heads south to his hometown, to the place where he grew up and now prefers to avoid. But the family meeting does not take place. The judge dies too soon, and in doing so leaves behind a shocking secret known only to Ray. And perhaps someone else. From the Paperback edition.",2002,Dell Publishing Company,386,['American fiction']
